zip,city,name,alias,state,locale,search,branches,men_only,operating,ownership,region_id,accreditor,school_url,state_fips,women_only,main_campus,online_only,carnegie_basic,faculty_salary,ownership_peps,accreditor_code,ft_faculty_rate,carnegie_undergrad,degree_urbanization,under_investigation,price_calculator_url,carnegie_size_setting,minority_serving,religious_affiliation,open_admissions_policy,title_iv,degrees_awarded,tuition_revenue_per_fte,instructional_expenditure_per_fte,institutional_characteristics
94105,San Francisco,Academy of Art University,,CA,11,Academy of Art University,1,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.academyart.edu,6,0,1,0,18,8492,3,WASCSR,0.2147,5,,0,https://npc.collegeboard.org/student/app/academyart,12,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""12/28/1983"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",31908,16263,"{""level"":1}"
91103,Pasadena,Art Center College of Design,,CA,12,Art Center College of Design,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.artcenter.edu,6,0,1,0,30,7776,2,WASCSR,0.2643,13,,0,https://tcc.ruffalonl.com/Art-Center-College-of-Design/Freshman-Calculator,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/19/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",34648,21748,"{""level"":1}"
91702-7000,Azusa,Azusa Pacific University,,CA,21,Azusa Pacific University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.apu.edu,6,0,1,0,16,9160,2,WASCSR,0.4042,13,,0,https://www.apu.edu/undergraduate-admissions/financialaid/calculator/,14,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",88,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",19919,11405,"{""level"":1}"
92801,Anaheim,Bethesda University,Bethesda University,CA,11,Bethesda University Bethesda University,1,0,1,2,8,Transnational Association of Christian Colleges and Schools,www.buc.edu,6,0,1,0,24,,2,TRACS,,10,,0,www.buc.edu,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",99,1,"{""approval_date"":""2/1/1999"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",6413,968,"{""level"":1}"
90639-0001,La Mirada,Biola University,,CA,21,Biola University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.biola.edu,6,0,1,0,17,9348,2,WASCSR,1,13,,0,https://www.biola.edu/undergrad/financial-aid/net-price-calculator#net-price,14,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",88,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",22560,12059,"{""level"":1}"
94103,San Francisco,California Institute of Integral Studies,CIIS,CA,11,California Institute of Integral Studies CIIS,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ciis.edu,6,0,1,0,17,8314,2,WASCSR,0.2906,11,,0,https://my.ciis.edu/ICS/Financial_Aid/Forms_and_Resources.jnz?portlet=Budget_Calculator&_ga=2.122314440.273392424.1504792767-1278539770.1487619126,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,,"{""approval_date"":""6/1/1974"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",25180,12564,"{""level"":1}"
92504-3297,Riverside,California Baptist University,CBU,CA,11,California Baptist University CBU,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.calbaptist.edu,6,0,1,0,18,9674,2,WASCSR,0.3274,13,,0,https://calbaptist.studentaidcalculator.com/welcome.aspx,13,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",75,2,"{""approval_date"":""1/1/1975"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",18673,9058,"{""level"":1}"
94107-2247,San Francisco,California College of the Arts,,CA,11,California College of the Arts,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.cca.edu,6,0,1,0,30,9662,2,WASCSR,0.2121,13,,0,www.cca.edu/admissions/financialaid/calculator,10,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",30596,17630,"{""level"":1}"
91125,Pasadena,California Institute of Technology,Caltech,CA,12,California Institute of Technology Caltech,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.caltech.edu,6,0,1,0,15,19993,2,WASCSR,0.9195,14,,0,www.finaid.caltech.edu/npc,11,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""1/1/1966"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",18877,104953,"{""level"":1}"
91360-2787,Thousand Oaks,California Lutheran University,,CA,12,California Lutheran University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.callutheran.edu/,6,0,1,0,18,9974,2,WASCSR,1,13,,0,https://www.callutheran.edu/financial-aid/tuition-fees/net-price-calculator.html,13,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",39,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",19499,10207,"{""level"":1}"
93407,San Luis Obispo,California Polytechnic State University-San Luis Obispo,Cal Poly,CA,23,California Polytechnic State University-San Luis Obispo Cal Poly,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,calpoly.edu,6,0,1,0,18,10335,1,WASCSR,0.6835,14,,0,financialaid.calpoly.edu/calculator/npcalc.htm,16,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",9068,9695,"{""level"":1}"
93311-1099,Bakersfield,California State University-Bakersfield,CSU Bakersfield,CA,11,California State University-Bakersfield CSU Bakersfield,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csub.edu,6,0,1,0,18,9585,1,WASCSR,0.5124,13,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,12,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""1/2/1970"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",3321,6413,"{""level"":1}"
95382-0299,Turlock,California State University-Stanislaus,Stanislaus State  CSU Stanislaus,CA,23,California State University-Stanislaus Stanislaus State  CSU Stanislaus,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.csustan.edu,6,0,1,0,18,9475,1,WASCSR,0.5097,13,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,12,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""9/8/1987"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",4680,7820,"{""level"":1}"
92407-2393,San Bernardino,California State University-San Bernardino,Cal State San Bernardino,CA,12,California State University-San Bernardino Cal State San Bernardino,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csusb.edu,6,0,1,0,18,9779,1,WASCSR,0.4812,11,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",3622,6925,"{""level"":1}"
91768,Pomona,California State Polytechnic University-Pomona,,CA,21,California State Polytechnic University-Pomona,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.cpp.edu,6,0,1,0,18,10587,1,WASCSR,0.4729,13,,0,https://www.cpp.edu/~financial-aid/net-price-calculator/npcalc.htm,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",4699,7042,"{""level"":1}"
95929-0150,Chico,California State University-Chico,,CA,13,California State University-Chico,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csuchico.edu,6,0,1,0,18,9723,1,WASCSR,0.5577,13,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",4242,6957,"{""level"":1}"
90747-0005,Carson,California State University-Dominguez Hills,CSUDH,CA,13,California State University-Dominguez Hills CSUDH,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.csudh.edu,6,0,1,0,18,9752,1,WASCSR,0.405,9,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",3854,6572,"{""level"":1}"
93740,Fresno,California State University-Fresno,,CA,11,California State University-Fresno,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.fresnostate.edu/,6,0,1,0,17,9393,1,WASCSR,0.5432,11,,0,fresnostate.edu/studentaffairs/financialaid/netprice/index.html,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",3735,6966,"{""level"":1}"
92831-3599,Fullerton,California State University-Fullerton,Cal State Fullerton,CA,21,California State University-Fullerton Cal State Fullerton,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.fullerton.edu,6,0,1,0,18,10201,1,WASCSR,0.4861,13,,0,www.fullerton.edu/financialaid/calculator/,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",5172,6858,"{""level"":1}"
94542,Hayward,California State University-East Bay,Cal State East Bay,CA,21,California State University-East Bay Cal State East Bay,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csueastbay.edu,6,0,1,0,18,10210,1,WASCSR,0.4603,13,,0,www.csueastbay.edu/financialaid/files/images/net-price-calculator/npcalc.htm,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",5794,6049,"{""level"":1}"
90840-0115,Long Beach,California State University-Long Beach,Cal State Long Beach,CA,11,California State University-Long Beach Cal State Long Beach,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csulb.edu,6,0,1,0,18,10192,1,WASCSR,0.4856,13,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",4721,7795,"{""level"":1}"
90032-8506,Los Angeles,California State University-Los Angeles,Cal State LA,CA,11,California State University-Los Angeles Cal State LA,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.calstatela.edu,6,0,1,0,18,9827,1,WASCSR,0.4134,11,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",3656,6641,"{""level"":1}"
91330,Northridge,California State University-Northridge,,CA,11,California State University-Northridge,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.csun.edu,6,0,1,0,18,10090,1,WASCSR,0.4546,11,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",4673,6696,"{""level"":1}"
95819-2694,Sacramento,California State University-Sacramento,Sacramento State,CA,11,California State University-Sacramento Sacramento State,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csus.edu,6,0,1,0,18,9804,1,WASCSR,0.4779,11,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",4931,7304,"{""level"":1}"
94720,Berkeley,University of California-Berkeley,UC Berkeley,CA,12,University of California-Berkeley UC Berkeley,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.berkeley.edu,6,0,1,0,15,17125,1,WASCSR,0.6663,15,,0,https://financialaid.berkeley.edu/sites/default/files/docs/FinancialLiteracy/CalcBalance_LiveFields_final.pdf,16,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",22027,20179,"{""level"":1}"
95616-8678,Davis,University of California-Davis,UC Davis,CA,23,University of California-Davis UC Davis,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,ucdavis.edu,6,0,1,0,15,14603,1,WASCSR,0.866,15,,0,myawards.ucdavis.edu/AidEstimator,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",18270,26371,"{""level"":1}"
92697,Irvine,University of California-Irvine,UCI  UC Irvine,CA,11,University of California-Irvine UCI  UC Irvine,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.uci.edu/,6,0,1,0,15,15447,1,WASCSR,0.8146,15,,0,www.ofas.uci.edu/content/Calculator.aspx,16,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",15954,20489,"{""level"":1}"
90095-1405,Los Angeles,University of California-Los Angeles,UCLA,CA,11,University of California-Los Angeles UCLA,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ucla.edu/,6,0,1,0,15,18392,1,WASCSR,0.6973,15,,0,https://dnn.uclanet.ucla.edu/fas102016/Prospective-Student/Net-Price-Calculator,17,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",18278,51748,"{""level"":1}"
92521,Riverside,University of California-Riverside,UC Riverside,CA,11,University of California-Riverside UC Riverside,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ucr.edu/,6,0,1,0,15,13408,1,WASCSR,0.8655,15,,0,vcsaweb.ucr.edu/FinAidManualCalculator/,16,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",12688,15117,"{""level"":1}"
92093,La Jolla,University of California-San Diego,UCSD  UC San Diego,CA,11,University of California-San Diego UCSD  UC San Diego,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ucsd.edu,6,0,1,0,15,16373,1,WASCSR,0.8483,15,,0,fas.ucsd.edu/forms-and-resources/financial-aid-estimator/index.html,16,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",17532,22428,"{""level"":1}"
93106,Santa Barbara,University of California-Santa Barbara,UCSB  UC Santa Barbara,CA,22,University of California-Santa Barbara UCSB  UC Santa Barbara,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ucsb.edu,6,0,1,0,15,15994,1,WASCSR,0.8502,15,,0,finaid.ucsb.edu/net-price-calculator,16,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",15451,12689,"{""level"":1}"
95064-1011,Santa Cruz,University of California-Santa Cruz,UC Santa Cruz,CA,13,University of California-Santa Cruz UC Santa Cruz,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ucsc.edu/,6,0,1,0,15,14426,1,WASCSR,0.767,15,,0,www2.ucsc.edu/finaidcalc/,17,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",14448,10828,"{""level"":1}"
94303,Palo Alto,Sofia University,Institute of Transpersonal Psychology,CA,13,Sofia University Institute of Transpersonal Psychology,1,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sofia.edu,6,0,1,0,26,6194,3,WASCSR,0.5139,5,,0,https://bigfuture.collegeboard.org/pay-for-college/college-costs/college-costs-calculator,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,,"{""approval_date"":""3/12/1992"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",23445,13364,"{""level"":1}"
93727,Fresno,California Christian College,,CA,11,California Christian College,1,0,1,2,8,Transnational Association of Christian Colleges and Schools,www.calchristiancollege.edu,6,0,1,0,24,,2,TRACS,,5,,0,www.calchristiancollege.edu/financial-aid/net-price-calculator/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",41,2,"{""approval_date"":""1/1/1980"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",7352,3817,"{""level"":1}"
