zip,city,name,alias,state,locale,search,branches,men_only,operating,ownership,region_id,accreditor,school_url,state_fips,women_only,main_campus,online_only,carnegie_basic,faculty_salary,ownership_peps,accreditor_code,ft_faculty_rate,carnegie_undergrad,degree_urbanization,under_investigation,price_calculator_url,carnegie_size_setting,minority_serving,religious_affiliation,open_admissions_policy,title_iv,degrees_awarded,tuition_revenue_per_fte,instructional_expenditure_per_fte,institutional_characteristics
92618,Irvine,Brandman University,,CA,11,Brandman University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.brandman.edu/,6,0,1,0,17,8843,2,WASCSR,0.1143,5,,0,brandman.studentaidcalculator.com/survey.aspx,12,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""8/27/2010"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",14523,4412,"{""level"":1}"
92096-0001,San Marcos,California State University-San Marcos,,CA,21,California State University-San Marcos,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csusm.edu,6,0,1,0,18,9790,1,WASCSR,0.4642,7,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""6/25/1990"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",5828,7425,"{""level"":1}"
91016,Monrovia,Mt Sierra College,,CA,21,Mt Sierra College,1,0,0,3,8,,www.mtsierra.edu,6,0,1,0,22,3843,,,0.2143,11,,0,mtsierra.edu/netpricecalc,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""10/30/1996"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",14343,5506,"{""level"":1}"
92656-8081,Aliso Viejo,Soka University of America,Soka; SUA,CA,21,Soka University of America Soka; SUA,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.soka.edu,6,0,1,0,21,11822,2,WASCSR,0.679,14,,0,npc.collegeboard.org/app/soka,8,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""2/11/2004"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",6047,35179,"{""level"":1}"
90020,Los Angeles,World Mission University,,CA,11,World Mission University,1,0,1,2,8,Association for Bibical Higher Educaiton,www.wmu.edu,6,0,1,0,24,3580,2,ABHE,0.6923,5,,0,www.wmu.edu/financialcalculator/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",99,1,"{""approval_date"":""12/15/2004"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",6533,3971,"{""level"":1}"
93955-8001,Seaside,California State University-Monterey Bay,CSUMB,CA,22,California State University-Monterey Bay CSUMB,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csumb.edu,6,0,1,0,19,9509,1,WASCSR,0.4977,13,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,14,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""4/28/1998"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",5237,8301,"{""level"":1}"
90755-3612,Signal Hill,American University of Health Sciences,AUHS,CA,21,American University of Health Sciences AUHS,1,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.auhs.edu,6,0,1,0,26,9939,3,WASCSR,0.4844,11,,0,www.auhs.edu/media/resources/financial_aid/npcalc/npcalc.htm,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""1/27/1998"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",24872,11304,"{""level"":1}"
93012,Camarillo,California State University-Channel Islands,CSU Channel Islands,CA,22,California State University-Channel Islands CSU Channel Islands,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.csuci.edu,6,0,1,0,19,9690,1,WASCSR,0.5402,13,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,12,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""8/16/2005"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",4677,8468,"{""level"":1}"
91606,North Hollywood,West Coast University-Los Angeles,,CA,11,West Coast University-Los Angeles,6,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,westcoastuniversity.edu/,6,0,1,0,26,8461,3,WASCSR,0.2216,11,,0,https://wcu.aidcalc.cloud,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""1/24/2003"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",31208,10149,"{""level"":1}"
92037,La Jolla,Northcentral University,,CA,11,Northcentral University,1,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ncu.edu,6,0,1,1,17,6267,3,WASCSR,0.2627,5,,0,www.ncu.edu/NetPriceCalculator/npcalc.htm,12,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,,"{""approval_date"":""3/10/2004"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",17600,2748,"{""level"":1}"
95343-5603,Merced,University of California-Merced,UC Merced,CA,41,University of California-Merced UC Merced,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,ucmerced.edu,6,0,1,0,16,11225,1,WASCSR,0.9102,12,,0,finaidcalc.ucmerced.edu/,13,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""9/26/2007"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",9399,9530,"{""level"":1}"
92108,San Diego,United States University,USU,CA,11,United States University USU,1,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.usuniversity.edu/,6,0,1,0,19,6556,3,WASCSR,1,11,,0,https://www.usuniversity.edu/net-price-calculator/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""3/10/2006"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",10871,6836,"{""level"":1}"
94608,Emeryville,SAE Expression College,Ex'pression College,CA,21,SAE Expression College Ex'pression College,1,0,1,3,8,Accrediting Commission of Career Schools and Colleges,usa.sae.edu/campuses/emeryville/,6,0,1,0,30,4282,3,ACCSC,1,11,,0,usa.sae.edu/admissions/financial-aid/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""8/18/2005"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",14361,3933,"{""level"":1}"
95762,El Dorado Hills,SUM Bible College and Theological Seminary,School of Urban Missions,CA,41,SUM Bible College and Theological Seminary School of Urban Missions,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sum.edu,6,0,1,0,24,2959,2,WASCSR,0.2857,11,,0,www.sum.edu/net-price-calculator/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",27,2,"{""approval_date"":""7/28/2005"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",5656,2958,"{""level"":1}"
91770,Rosemead,University of the West,UWest,CA,21,University of the West UWest,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.uwest.edu,6,0,1,0,21,7034,2,WASCSR,1,11,,0,www.uwest.edu/net-price-calculator/,8,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""9/14/2006"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",17105,14758,"{""level"":1}"
90630-5041,Cypress,Trident University International,TUI,CA,21,Trident University International TUI,1,0,0,3,8,,www.trident.edu/,6,0,1,1,17,6112,,,0.1017,5,,0,https://trident.studentaidcalculator.com/survey.aspx,12,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""10/4/2007"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",7737,1487,"{""level"":1}"
90017,Los Angeles,The Chicago School of Professional Psychology at Los Angeles,,CA,11,The Chicago School of Professional Psychology at Los Angeles,7,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.thechicagoschool.edu/,6,0,1,0,26,7678,2,WASCSR,0.7407,5,,0,www.thechicagoschool.edu/admissions/financial-aid/tuition-and-fees/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""10/10/1980"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",28643,10855,"{""level"":1}"
91101,Pasadena,Providence Christian College,,CA,12,Providence Christian College,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.providencecc.edu,6,0,1,0,21,5016,2,WASCSR,0.3478,11,,0,www.providencecc.edu/NetPriceCalculator/npcalc.htm,8,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",88,2,"{""approval_date"":""7/24/2009"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",20188,23240,"{""level"":1}"
92802,Anaheim,West Coast University-Orange County,,CA,11,West Coast University-Orange County,6,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,westcoastuniversity.edu/,6,0,0,0,26,7912,3,WASCSR,0.1592,11,,0,https://wcu.aidcalc.cloud,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""1/4/2007"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",25773,8382,"{""level"":1}"
91761,Ontario,West Coast University-Ontario,,CA,12,West Coast University-Ontario,6,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,westcoastuniversity.edu/,6,0,0,0,26,8072,3,WASCSR,0.2013,11,,0,https://wcu.aidcalc.cloud,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""1/17/2008"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",31033,10092,"{""level"":1}"
90720,Los Alamitos,Touro University Worldwide,TUW,CA,21,Touro University Worldwide TUW,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.tuw.edu,6,0,1,0,18,5781,2,WASCSR,0.1062,5,,0,www.tuw.edu/admissions/tuition/financial-aid-information/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""5/17/2010"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",8805,4643,"{""level"":1}"
92801,Anaheim,California University of Management and Sciences,CalUMS,CA,11,California University of Management and Sciences CalUMS,1,0,1,2,8,,www.calums.edu,6,0,1,0,19,4692,,,,10,,0,www.calums.edu,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""7/14/2011"",""eligibility_type"":5}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",12126,3326,"{""level"":1}"
94951,Penngrove,Bergin University of Canine Studies,Assistance Dog Institute,CA,23,Bergin University of Canine Studies Assistance Dog Institute,1,0,1,2,8,Accrediting Council for Independent Colleges and Schools,www.berginu.edu,6,0,1,0,32,3351,2,ACICS,,11,,0,www.berginu.edu/net-price-calculator.html,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,,"{""approval_date"":""10/29/2010"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":2}",9579,10282,"{""level"":1}"
92025,Escondido,John Paul the Great Catholic University,,CA,21,John Paul the Great Catholic University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://jpcatholic.edu/,6,0,1,0,22,6583,2,WASCSR,0.3846,13,,0,https://jpcatholic.edu/admission/cost/npcalc.html,8,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",30,2,"{""approval_date"":""6/23/2011"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",13927,14708,"{""level"":1}"
91773-1741,San Dimas,Los Angeles Pacific University,Azusa Pacific's University College,CA,21,Los Angeles Pacific University Azusa Pacific's University College,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.lapu.edu,6,0,1,1,20,7120,2,WASCSR,1,5,,0,https://studentservices.lapu.edu/netprice/index.html,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",88,1,"{""approval_date"":""7/26/2018"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",12616,1902,"{""level"":1}"
90211,Beverly Hills,Beverly Hills Design Institute,,CA,21,Beverly Hills Design Institute,1,0,1,3,8,Accrediting Council for Independent Colleges and Schools,https://www.bhdi.edu,6,0,1,0,30,2000,3,ACICS,,8,,0,https://www.bhdi.edu/NetPrice/npcalc.htm,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""7/12/2011"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":2}",40453,8060,"{""level"":1}"
92108,San Diego,California Miramar University,,CA,11,California Miramar University,1,0,1,3,8,Distance Education Accrediting Commission,www.calmu.edu,6,0,1,0,29,,3,DETC,,11,,0,https://www.calmu.edu/net-price-calculator/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""9/28/2012"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":1}",10238,2464,"{""level"":1}"
92833-3860,Fullerton,Grace Mission University,,CA,21,Grace Mission University,1,0,1,2,8,Transnational Association of Christian Colleges and Schools,www.gm.edu,6,0,1,0,24,5417,2,TRACS,,5,,0,https://www.raise.me/edu/grace-mission-university,6,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",66,2,"{""approval_date"":""12/20/2012"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",7633,1258,"{""level"":1}"
91764,Ontario,DeVry University-California,DeVry University-Colton  DeVry University-Folsom  DeVry University-Newark  DeVry University-Fresno  DeVry University-Long Beach  DeVry University-Ontario  DeVry University-San Diego  DeVry University-San Jose  DeVry University-Sherman Oaks,CA,12,DeVry University-California DeVry University-Colton  DeVry University-Folsom  DeVry University-Newark  DeVry University-Fresno  DeVry University-Long Beach  DeVry University-Ontario  DeVry University-San Diego  DeVry University-San Jose  DeVry University-Sherman Oaks,17,0,1,3,8,Higher Learning Commission,https://www.devry.edu,6,0,0,0,18,7936,3,NCACHE,0.13,5,,0,https://my.devry.edu/npc,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""6/26/2002"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",21547,3231,"{""level"":1}"
91761,Ontario,University of Phoenix-California,,CA,12,University of Phoenix-California,19,0,1,3,8,Higher Learning Commission,https://www.phoenix.edu,6,0,0,0,18,10004,3,NCACHE,0.0244,11,,0,https://www.phoenix.edu/tuition_and_financial_options/financial-plan-services/tell-us-about-yourself,12,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""1/4/1979"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",11191,2364,"{""level"":1}"
92614-5636,Irvine,California Intercontinental University,,CA,11,California Intercontinental University,1,0,1,3,8,Distance Education Accrediting Commission,https://www.caluniversity.edu,6,0,1,1,29,4583,3,DETC,0,5,,0,https://www.caluniversity.edu/assets/financial_aid/net_price_calculator/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""6/19/2015"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",9732,1637,"{""level"":1}"
94704-1268,Berkeley,California Jazz Conservatory,,CA,12,California Jazz Conservatory,1,0,1,2,8,National Association of Schools of Music,www.cjc.edu,6,0,1,0,30,5969,2,NASM,,5,,0,https://cjc.edu/baccalaureate-program/financial-aid/net-price-calculator/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""4/28/2015"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",36182,26078,"{""level"":1}"
90017-2019,Los Angeles,Hussian College-Los Angeles,,CA,11,Hussian College-Los Angeles,7,0,1,3,8,Accrediting Commission of Career Schools and Colleges,relativityschool.org/,6,0,0,0,-2,,3,ACCSC,0.1699,-2,,0,https://studioschool.org/tuition-financial-aid/tools-calculators/net-price-calculator/,-2,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""10/6/2014"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",22183,10691,"{""level"":1}"
92069,San Marcos,University of Saint Katherine,,CA,21,University of Saint Katherine,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.usk.edu,6,0,1,0,-2,4750,2,WASCSR,0.2609,-2,,0,www.usk.edu/net-price-calculator,-2,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",91,1,"{""approval_date"":""12/30/2016"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":null}",13307,4845,"{""level"":1}"
95670,Rancho Cordova,Chamberlain University-California,Chamberlain College of Nursing-Sacramento,CA,13,Chamberlain University-California Chamberlain College of Nursing-Sacramento,15,0,1,3,8,Higher Learning Commission,https://www.chamberlain.edu/,6,0,0,0,-2,9172,3,NCACHE,0.1818,-2,,0,https://www.chamberlain.edu/admissions/financial-aid-scholarships/calculator,-2,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""8/10/2016"",""eligibility_type"":1}","{""highest"":0,""predominant"":3,""predominant_recoded"":3}",24096,9333,"{""level"":1}"
90670-5647,Santa Fe Springs,Presbyterian Theological Seminary in America,,CA,21,Presbyterian Theological Seminary in America,1,0,1,2,8,Association for Bibical Higher Educaiton,ptsa.edu,6,0,1,0,24,1342,2,ABHE,,5,,0,ptsa.edu/net-price-calculator,6,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",66,1,"{""approval_date"":""9/12/2016"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",5217,1008,"{""level"":1}"
92110,San Diego,Southern States University,,CA,11,Southern States University,1,0,1,3,8,Accrediting Council for Independent Colleges and Schools,www.ssu.edu/,6,0,1,0,29,4375,3,ACICS,,10,,0,www.ssu.edu/wp-content/uploads/npcalc.htm,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""7/25/2016"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":null}",8479,4713,"{""level"":1}"
90006-5860,Los Angeles,America Evangelical University,,CA,11,America Evangelical University,1,0,1,2,8,Association for Bibical Higher Educaiton,www.aeu.edu/,6,0,1,0,24,3000,2,ABHE,,10,,0,it21inc.net/demos/netprice-calculator/Theology/npcalc.htm,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",89,1,"{""approval_date"":""11/14/2016"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":null}",6635,6471,"{""level"":1}"
92606,Irvine,Westcliff University,,CA,11,Westcliff University,1,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.westcliff.edu/,6,0,1,0,29,3517,3,WASCSR,0.3385,15,,0,www.westcliff.edu/admissions/netprice,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""7/6/2016"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",3852,587,"{""level"":1}"
94621-2041,Oakland,Oikos University,,CA,11,Oikos University,1,0,0,2,8,,www.oikos.edu,6,0,1,0,-2,1813,,,,-2,,0,www.oikos.edu,-2,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",103,2,"{""approval_date"":""7/24/2017"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":null}",19328,6274,"{""level"":1}"
